state,club,website,program_name,program_url,program_type
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Enter Here,https://www.birminghamunited.com/rehab/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Players First,http://www.birminghamunited.com/playersfirst,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Players First,https://www.birminghamunited.com/playersfirst/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Tournaments,https://www.birminghamunited.com/tournaments/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Events,https://www.birminghamunited.com/events/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Inaugural Crawfish Boil,https://www.birminghamunited.com/events/crawfishboil/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,2026-2027 Tryouts,https://www.birminghamunited.com/events/tryouts/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Volunteer Info,https://www.birminghamunited.com/volunteer-info/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Coaches,https://www.birminghamunited.com/coaches/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,AFC Coaching Resources Coming Soon,https://www.birminghamunited.com/coaching-resources/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Register to Coach,https://www.birminghamunited.com/register-to-coach/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Private Training,https://www.birminghamunited.com/private-training/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Se Habla Español,https://www.birminghamunited.com/se-habla-espanol/,Program
Alabama,Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,Our Fields & Facilities,https://www.birminghamunited.com/our-fields-facilities/,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Field Status,https://www.alabamarushsoccer.com/field-status,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Rush Slogan,https://www.alabamarushsoccer.com/rush-slogan,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Rush Core Values,https://www.alabamarushsoccer.com/rush-core-values,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Rush Vision Statement,https://www.alabamarushsoccer.com/rush-vision-statement,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Rush Mission Statement,https://www.alabamarushsoccer.com/rush-mission-statement,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Locations,https://www.alabamarushsoccer.com/locations,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Rainbow City MegaSports Plex Field Layout,https://www.alabamarushsoccer.com/field-layouts,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Alabama Rush Formations,https://www.alabamarushsoccer.com/alabama-rush-formations,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Parent Resources,https://www.alabamarushsoccer.com/parent-resources,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Manager's Resources,https://www.alabamarushsoccer.com/manager-s-resources,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Coach's Resources,https://www.alabamarushsoccer.com/coach-s-resources,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Fundraising,https://www.alabamarushsoccer.com/fundraising,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Becoming a Partner,https://www.alabamarushsoccer.com/becomingapartner,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Alabama Rush Gold Partners,https://www.alabamarushsoccer.com/alabama-rush-gold-partners,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Alabama Rush Platnum Partners,https://www.alabamarushsoccer.com/alabama-rush-platinum-partners,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Alabama Rush Diamond Partners,https://www.alabamarushsoccer.com/alabama-rush-diamond-partner,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Rush Recreational Info,https://www.alabamarushsoccer.com/rush-recreational-info,Recreational
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Alabama Rush Tryouts/Placement for Fall,https://www.alabamarushsoccer.com/al-rush-tryouts/alabama-rush-tryouts/alabama-rush-tryouts/placement-for-fall,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Rush Minis Info,https://www.alabamarushsoccer.com/2026-rush-minis-info,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Rush Pre Academy Info,https://www.alabamarushsoccer.com/rush-pre-academy-info,Elite/Competitive
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Rush Academy Info,https://www.alabamarushsoccer.com/rush-academy-info,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Rush Competitive Info,https://www.alabamarushsoccer.com/rush-competitive-info,Competitive
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Alabama Rush Season Fees,https://www.alabamarushsoccer.com/competitive-fees-,Competitive
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Rush Select,https://www.alabamarushsoccer.com/rush-select-alabama,Competitive
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Rush Development,https://www.alabamarushsoccer.com/rush-development,Development
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Winter Futsal Information,https://www.alabamarushsoccer.com/winter-futsal-information,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Winter Futsal Rosters,https://www.alabamarushsoccer.com/winter-futsal-rosters,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Winter Futsal Schedule,https://www.alabamarushsoccer.com/-winter-futsal-schedule,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Winter Futsal Standings,https://www.alabamarushsoccer.com/winter-futsal-standings,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Winter Futsal Rules,https://www.alabamarushsoccer.com/winter-futsal-rules,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Goalkeeper Central,https://www.alabamarushsoccer.com/goalkeeper-central,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Rainbow City Goalkeeper Training,https://www.alabamarushsoccer.com/goalkeeping-training-rbc,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Sand Mountain Goalkeeper Training,https://www.alabamarushsoccer.com/sand-mountain-goalkeeping-training,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Fort Payne Goalkeeper Training,https://www.alabamarushsoccer.com/fort-payne-goalkeeping-training,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Rush World Cup 3v3 Tournaments,https://www.alabamarushsoccer.com/rush-world-cup-3v3-tournaments,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Summer Sizzle 3v3 Tournaments,https://www.alabamarushsoccer.com/summer-sizzle-3v3-tournaments,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Halloween 3v3 Tournaments,https://www.alabamarushsoccer.com/halloween-3v3-tournaments,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Alabama Rush Cup,https://www.alabamarushsoccer.com/rush-cup-tournament,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,OMEGABALL,https://www.alabamarushsoccer.com/OMEGABALL,Program
