club_id,club_name,conference,age_groups,league,season
2738,Atletico Dallas Youth Pre-ECNL B14 Luna,NTX,B2015,Pre-ECNL Boys,2025-26
4068,Avanti SA Pre-ECNL B14 Joundi,NTX,B2015,Pre-ECNL Boys,2025-26
1771,BVBIA Pre-ECNL B14 Ngwenya,NTX,B2015,Pre-ECNL Boys,2025-26
35,DKSC Pre ECNL B14 Rubio,NTX,B2015,Pre-ECNL Boys,2025-26
7,DKSC Pre-ECNL B14 Guerrero,NTX,B2015,Pre-ECNL Boys,2025-26
37,Dallas Texans Pre-ECNL B14 Salazar,NTX,B2015,Pre-ECNL Boys,2025-26
47,FC Dallas Academy B15 Gonzalez,NTX,B2015,Pre-ECNL Boys,2025-26
2127,Fever United FC Pre-ECNL B14 Mee,NTX,B2015,Pre-ECNL Boys,2025-26
3717,NTX Celtic FC Pre-ECNL B14 Brice,NTX,B2015,Pre-ECNL Boys,2025-26
4371,NTX UNITED FC Pre-ECNL B14 Myers,NTX,B2015,Pre-ECNL Boys,2025-26
2134,Oklahoma Celtic Pre-ECNL B14,NTX,B2015,Pre-ECNL Boys,2025-26
101,SOLAR PRE-ECNL B14 KENNINGTON,NTX,B2015,Pre-ECNL Boys,2025-26
36,Sting Pre-ECNL B14 Fernandez,NTX,B2015,Pre-ECNL Boys,2025-26
3849,TAG Soccer Pre-ECNL B14 Gold Marin,NTX,B2015,Pre-ECNL Boys,2025-26
4370,AC Connecticut Pre-ECNL B14,New England,B2015,Pre-ECNL Boys,2025-26
31,Connecticut FC United Ole Pre-ECNL B14,New England,B2015,Pre-ECNL Boys,2025-26
1409,East Coast Surf SC Pre-ECNL B14,New England,B2015,Pre-ECNL Boys,2025-26
42,East Meadow SC Pre-ECNL B14,New England,B2015,Pre-ECNL Boys,2025-26
52,FC Stars Pre-ECNL B14 Blue,New England,B2015,Pre-ECNL Boys,2025-26
431,FSA FC Pre-ECNL B14,New England,B2015,Pre-ECNL Boys,2025-26
518,Manhattan SC Pre-ECNL B14 I,New England,B2015,Pre-ECNL Boys,2025-26
428,STA Pre-ECNL B14,New England,B2015,Pre-ECNL Boys,2025-26
9,SUSA FC Academy Pre-ECNL B14,New England,B2015,Pre-ECNL Boys,2025-26
94,Scorpions SC Pre-ECNL B14,New England,B2015,Pre-ECNL Boys,2025-26
116,World Class FC Pre-ECNL B14 I,New England,B2015,Pre-ECNL Boys,2025-26
494,Baltimore Celtic Pre-ECNL B14,North Atlantic,B2015,Pre-ECNL Boys,2025-26
46,HEX FC Dominion Pre-ECNL B14,North Atlantic,B2015,Pre-ECNL Boys,2025-26
451,LVU Rush Pre-ECNL B14,North Atlantic,B2015,Pre-ECNL Boys,2025-26
419,Maryland United FC Pre-ECNL B14,North Atlantic,B2015,Pre-ECNL Boys,2025-26
64,Match Fit Surf Pre-ECNL B14,North Atlantic,B2015,Pre-ECNL Boys,2025-26
4338,PSA Monmouth Pre-ECNL B14,North Atlantic,B2015,Pre-ECNL Boys,2025-26
79,Penn Fusion SA Pre-ECNL B14,North Atlantic,B2015,Pre-ECNL Boys,2025-26
1345,Philadelphia Ukrainian Nationals Pre-ECNL B14,North Atlantic,B2015,Pre-ECNL Boys,2025-26
3405,Pipeline SC Pre-ECNL B14,North Atlantic,B2015,Pre-ECNL Boys,2025-26
1940,Potomac SA Pre-ECNL B14,North Atlantic,B2015,Pre-ECNL Boys,2025-26
4355,SJEB FC Pre-ECNL B14,North Atlantic,B2015,Pre-ECNL Boys,2025-26
489,Brentwood SC Pre-ECNL B14,Northeast,B2015,Pre-ECNL Boys,2025-26
4349,CFC North Pre-ECNL B14 II,Northeast,B2015,Pre-ECNL Boys,2025-26
4220,Eastern FC Pre-ECNL B14,Northeast,B2015,Pre-ECNL Boys,2025-26
342,Select Pre-ECNL South B14 I,Northeast,B2015,Pre-ECNL Boys,2025-26
5327,Westchester Soccer Club Pre-ECNL B14,Northeast,B2015,Pre-ECNL Boys,2025-26
1030,Western United Pioneers Pre-ECNL B14,Northeast,B2015,Pre-ECNL Boys,2025-26
4342,1974 Newark FC Pre-ECNL B14,Northern Cal,B2015,Pre-ECNL Boys,2025-26
3065,Association FC Pre-ECNL B14,Northern Cal,B2015,Pre-ECNL Boys,2025-26
1470,COSC Pre-ECNL B14,Northern Cal,B2015,Pre-ECNL Boys,2025-26
1425,Davis Legacy Pre-ECNL B14,Northern Cal,B2015,Pre-ECNL Boys,2025-26
4063,El Camino Futbol Club Salinas Pre-ECNL B14,Northern Cal,B2015,Pre-ECNL Boys,2025-26
3231,Los Gatos United Pre-ECNL B14,Northern Cal,B2015,Pre-ECNL Boys,2025-26
294,MVLA Pre-ECNL B14,Northern Cal,B2015,Pre-ECNL Boys,2025-26
1585,Marin FC Pre-ECNL B14,Northern Cal,B2015,Pre-ECNL Boys,2025-26
69,Mustang SC Pre-ECNL B14,Northern Cal,B2015,Pre-ECNL Boys,2025-26
3054,Placer United Pre-ECNL B14,Northern Cal,B2015,Pre-ECNL Boys,2025-26
2955,River Islands Surf Pre-ECNL B14,Northern Cal,B2015,Pre-ECNL Boys,2025-26
1040,San Francisco Elite Academy Pre-ECNL B14,Northern Cal,B2015,Pre-ECNL Boys,2025-26
88,San Juan SC Pre-ECNL B14,Northern Cal,B2015,Pre-ECNL Boys,2025-26
2548,Santa Clara Sporting Pre-ECNL B14,Northern Cal,B2015,Pre-ECNL Boys,2025-26
91,Santa Rosa United Pre-ECNL B14,Northern Cal,B2015,Pre-ECNL Boys,2025-26
5124,Elite FC 2017 Boys Pre-ECNL (Chelsea),Ohio Valley,B2015,Pre-ECNL Boys,2025-26
1501,FC Pride Elite Pre-ECNL B17,Ohio Valley,B2015,Pre-ECNL Boys,2025-26
3650,Mercury Pre-ECNL B17 Graves,Ohio Valley,B2015,Pre-ECNL Boys,2025-26
75,Ohio Elite SA Pre-ECNL B17,Ohio Valley,B2015,Pre-ECNL Boys,2025-26
4041,TFA CINCINNATI B17 Elite,Ohio Valley,B2015,Pre-ECNL Boys,2025-26
16,Beach FC (CA) Pre-ECNL B14 I,SoCal,B2015,Pre-ECNL Boys,2025-26
41,Eagles SC Pre-ECNL B14 I,SoCal,B2015,Pre-ECNL Boys,2025-26
2289,LA Breakers FC Pre-ECNL B14 I,SoCal,B2015,Pre-ECNL Boys,2025-26
82,LAFC So Cal Pre ECNL B14 I,SoCal,B2015,Pre-ECNL Boys,2025-26
61,Legends FC Pre-ECNL B14 I,SoCal,B2015,Pre-ECNL Boys,2025-26
39,Legends FC San Diego Pre-ECNL B14 I,SoCal,B2015,Pre-ECNL Boys,2025-26
186,Pateadores PreECNL B14 I,SoCal,B2015,Pre-ECNL Boys,2025-26
300,Rebels SC Pre-ECNL B14 I,SoCal,B2015,Pre-ECNL Boys,2025-26
86,SDSC Surf Pre-ECNL B14 I,SoCal,B2015,Pre-ECNL Boys,2025-26
87,San Diego Surf Pre-ECNL B14 I,SoCal,B2015,Pre-ECNL Boys,2025-26
96,Slammers FC Pre-ECNL B14 Maroon I,SoCal,B2015,Pre-ECNL Boys,2025-26
13,Sporting CA USA Pre-ECNL B14 I,SoCal,B2015,Pre-ECNL Boys,2025-26
113,West Coast FC Pre-ECNL B14 I,SoCal,B2015,Pre-ECNL Boys,2025-26
