club,program_name,age_group,fee,fee_url
Academia de Futbol Tigres,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
AC Brea Soccer,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
ALBION SC Riverside,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
ALBION SC San Diego,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
ALBION SC Santa Ana,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
ALBION SC Santa Monica,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
Anaheim Futbol Club,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
Antelope Valley Futbol Club,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
Apple Valley SC Storm,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
Athletic Soccer Club,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
Aztecs FC,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
Bakersfield Alliance,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
Beach Futbol Club,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
Bell Gardens FC,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
Boca Orange County,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
Borussia Del Mar Soccer Club,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
California Athletic SC,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
California Football Academy,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
California Rush Soccer Club,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
Capo FC,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
Cardiff Sockers,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
CDA Slammers,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
Celtic Soccer Club (S-CA),Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
Central Cal Aztecs,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
Chelsea OC,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
Chula Vista FC,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
City SC,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
City SC Chula Vista,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
City SC - San Marcos,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
City SC South Bay,Age group cut-off update for 2026-27 season,U3,$7,https://www.socalsoccerleague.org/_files/ugd/c9d1d3_bb7364132baf4b7fb3cf27686b43cfc0.pdf
