club_id,club_name,conference,age_groups,league,season
329,NTH NASA ECNL RL B13,Southeast,B2013,ECNL RL Boys,2025-26
3644,South Carolina Surf ECNL RL B13,Southeast,B2013,ECNL RL Boys,2025-26
1689,South Carolina United ECNL RL B13,Southeast,B2013,ECNL RL Boys,2025-26
3407,United Futbol Academy ECNL RL B13,Southeast,B2013,ECNL RL Boys,2025-26
41,Eagles SC ECNL RL B13,Southwest,B2013,ECNL RL Boys,2025-26
61,Legends FC - ECNL RL 2 B13,Southwest,B2008/2007 | B2009 | B2010 | B2012 | B2013,ECNL RL Boys,2025-26
186,Pateadores ECNL RL B13,Southwest,B2009 | B2011 | B2013,ECNL RL Boys,2025-26
96,SLAMMERS FC White ECNL RL B13,Southwest,B2009 | B2010 | B2012 | B2013,ECNL RL Boys,2025-26
87,San Diego Surf ECNL RL B13 Blue,Southwest,B2009 | B2010 | B2011 | B2013,ECNL RL Boys,2025-26
3234,FC Westlake ECNL RL B13,Texas,B2009 | B2010 | B2013,ECNL RL Boys,2025-26
2258,HTX N ECNL RL B13,Texas,B2009 | B2010 | B2012 | B2013,ECNL RL Boys,2025-26
2134,Oklahoma Celtic ECNL RL B13,Texas,B2013,ECNL RL Boys,2025-26
4304,SAFC Black ECNL RL B13,Texas,B2009 | B2013,ECNL RL Boys,2025-26
2519,San Antonio City SC ECNL RL B13,Texas,B2013,ECNL RL Boys,2025-26
4803,BOREAL FC ECNL RL B2008/07,Twin Cities,B2008/2007,ECNL RL Boys,2025-26
4149,EPSC ECNL RL B13,Twin Cities,B2009 | B2013,ECNL RL Boys,2025-26
4132,Edina Soccer Club ECNL RL B13,Twin Cities,B2013,ECNL RL Boys,2025-26
4812,Fusion Soccer Club ECNL RL B13,Twin Cities,B2011 | B2013,ECNL RL Boys,2025-26
4716,Keliix-Intra SC,Twin Cities,B2009 | B2010 | B2012 | B2013,ECNL RL Boys,2025-26
4143,Minneapolis United SC ECNL RL B11,Twin Cities,B2011,ECNL RL Boys,2025-26
4825,Minnesota Rush ECNL RL B13,Twin Cities,B2013,ECNL RL Boys,2025-26
4817,North Star FC ECNL RL B08/07,Twin Cities,B2008/2007,ECNL RL Boys,2025-26
4137,North Suburban ECNL RL B13,Twin Cities,B2010 | B2012 | B2013,ECNL RL Boys,2025-26
4105,Prior Lake SC ECNL RL B13,Twin Cities,B2013,ECNL RL Boys,2025-26
4136,Salvo SC ECNL RL B13,Twin Cities,B2013,ECNL RL Boys,2025-26
4506,Shakopee Soccer Association ECNL RL B13,Twin Cities,B2013,ECNL RL Boys,2025-26
4827,Wave SC ECNL RL B13,Twin Cities,B2013,ECNL RL Boys,2025-26
3732,Western Wisconsin Soccer ECNL RL B13,Twin Cities,B2013,ECNL RL Boys,2025-26
525,Arlington Soccer ECNL RL B13,Virginia,B2008/2007 | B2013,ECNL RL Boys,2025-26
357,BRYC Academy ECNL RL B13,Virginia,B2013,ECNL RL Boys,2025-26
628,Beach FC (VA) ECNL RL B13,Virginia,B2013,ECNL RL Boys,2025-26
4295,DCSC ECNL RL B13,Virginia,B2013,ECNL RL Boys,2025-26
1288,Great Falls Reston Soccer Club ECNL RL B13,Virginia,B2009 | B2013,ECNL RL Boys,2025-26
611,Herndon ECNL RL B13,Virginia,B2013,ECNL RL Boys,2025-26
448,LMVSC ECNL RL B13,Virginia,B2013,ECNL RL Boys,2025-26
629,PWSI Courage ECNL RL B13,Virginia,B2008/2007 | B2010 | B2011 | B2013,ECNL RL Boys,2025-26
417,Richmond United Blue ECNL RL B13,Virginia,B2009 | B2011 | B2013,ECNL RL Boys,2025-26
1885,SOCA Elite ECNL RL B13,Virginia,B2013,ECNL RL Boys,2025-26
636,Stafford Revolution ECNL RL B13,Virginia,B2013,ECNL RL Boys,2025-26
4083,VA Reign FC ECNL RL B13,Virginia,B2012 | B2013,ECNL RL Boys,2025-26
412,VSA ECNL RL B13,Virginia,B2013,ECNL RL Boys,2025-26
528,Vienna Youth Soccer ECNL RL B13,Virginia,B2013,ECNL RL Boys,2025-26
3176,Villarreal VA ECNL RL B13,Virginia,B2010 | B2013,ECNL RL Boys,2025-26
4055,Virginia United ECNL RL B13,Virginia,B2012 | B2013,ECNL RL Boys,2025-26
4013,Virginia Valor FC ECNL RL B13,Virginia,B2013,ECNL RL Boys,2025-26
