club_id,club_name,conference,age_groups,league,season
88,San Juan SC RL B13,Golden State,B2013,ECNL RL Boys,2025-26
4080,Blast FC Academy ECNL RL B13,Great Lakes Alliance,B2009 | B2011 | B2013,ECNL RL Boys,2025-26
4578,CAU Force ECNL RL B13,Great Lakes Alliance,B2009 | B2010 | B2013,ECNL RL Boys,2025-26
4087,Cincinnati Elite FC ECNL RL B13,Great Lakes Alliance,B2013,ECNL RL Boys,2025-26
3478,Cleveland Force SC White ECNL RL B13,Great Lakes Alliance,B2009 | B2012 | B2013,ECNL RL Boys,2025-26
4075,Columbus Force ECNL RL B13,Great Lakes Alliance,B2010 | B2011 | B2013,ECNL RL Boys,2025-26
4598,Croatia Juniors ECNL RL B13,Great Lakes Alliance,B2013,ECNL RL Boys,2025-26
1874,Cuyahoga Valley SA - CVSA 2013 Boys ECNL RL,Great Lakes Alliance,B2009 | B2011 | B2013,ECNL RL Boys,2025-26
5124,Elite FC - Elite FC 2013 Boys ECNL RL,Great Lakes Alliance,B2013,ECNL RL Boys,2025-26
1501,FC Pride Elite ECNL RL B13,Great Lakes Alliance,B2013,ECNL RL Boys,2025-26
4008,GTFC Impact ECNL RL B13,Great Lakes Alliance,B2013,ECNL RL Boys,2025-26
5203,Liverpool FC IA Central - 13B ECNL RL,Great Lakes Alliance,B2013,ECNL RL Boys,2025-26
3475,Louisville City Academy ECNL RL B13,Great Lakes Alliance,B2008/2007 | B2010 | B2013,ECNL RL Boys,2025-26
4458,Manta ECNL RL B13,Great Lakes Alliance,B2011 | B2013,ECNL RL Boys,2025-26
1713,Nationals SC CA ECNL RL B13,Great Lakes Alliance,B2009 | B2013,ECNL RL Boys,2025-26
4575,North FC ECNL RL B13,Great Lakes Alliance,B2009 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
75,Ohio Elite SA ECNL RL B13,Great Lakes Alliance,B2013,ECNL RL Boys,2025-26
4006,Ohio Galaxies FC ECNL RL B13,Great Lakes Alliance,B2009 | B2012 | B2013,ECNL RL Boys,2025-26
437,Ohio Premier ECNL RL B13,Great Lakes Alliance,B2013,ECNL RL Boys,2025-26
3075,Pacesetter Soccer Club ECNL RL B13,Great Lakes Alliance,B2008/2007 | B2012 | B2013,ECNL RL Boys,2025-26
538,Pittsburgh Riverhounds ECNL RL B13,Great Lakes Alliance,B2013,ECNL RL Boys,2025-26
4009,Sporting Columbus ECNL RL B13,Great Lakes Alliance,B2010 | B2012 | B2013,ECNL RL Boys,2025-26
4563,Steel City FC ECNL RL B13,Great Lakes Alliance,B2008/2007 | B2010 | B2011 | B2013,ECNL RL Boys,2025-26
5184,Team Challenger FC North ECNL RL B13,Great Lakes Alliance,B2009 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
4460,Upper 90 FC ECNL RL B13,Great Lakes Alliance,B2012 | B2013,ECNL RL Boys,2025-26
343,WNY Flash ECNL RL B13,Great Lakes Alliance,B2013,ECNL RL Boys,2025-26
4742,Cap City Athletic 1847 ECNL RL B13,Greater Michigan Alliance,B2013,ECNL RL Boys,2025-26
4858,Detroit City FC West ECNL RL B13,Greater Michigan Alliance,B2012 | B2013,ECNL RL Boys,2025-26
4852,Legends FC Michigan ECNL RL B13,Greater Michigan Alliance,B2011 | B2013,ECNL RL Boys,2025-26
3712,Liverpool FC IA Michigan Ann Arbor ECNL RL B13,Greater Michigan Alliance,B2010 | B2013,ECNL RL Boys,2025-26
5200,Liverpool North Oakland ECNL RL B13,Greater Michigan Alliance,B2013,ECNL RL Boys,2025-26
1720,Michigan Burn ECNL RL B13,Greater Michigan Alliance,B2011 | B2013,ECNL RL Boys,2025-26
4484,Michigan Rangers FC ECNL RL B13,Greater Michigan Alliance,B2008/2007 | B2009 | B2010 | B2012 | B2013,ECNL RL Boys,2025-26
1678,Plymouth Reign SC ECNL RL B13,Greater Michigan Alliance,B2013,ECNL RL Boys,2025-26
4589,Portage SC ECNL RL B13,Greater Michigan Alliance,B2013,ECNL RL Boys,2025-26
4874,TKO Premier SC ECNL RL B13,Greater Michigan Alliance,B2008/2007 | B2009 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
4319,Coastal Rush ECNL RL B13,Gulf Coast,B2013,ECNL RL Boys,2025-26
3714,Gulf Coast United FC ECNL RL B13,Gulf Coast,B2013,ECNL RL Boys,2025-26
5143,Hattiesburg FC ECNL RL B13,Gulf Coast,B2013,ECNL RL Boys,2025-26
