club_name,division,season
Metropolitan Oval,MLS NEXT Academy Division,2025-26
Miami Futbol Academy Rush,MLS NEXT Academy Division,2025-26
Michigan Bucks Academy,MLS NEXT Academy Division,2025-26
Michigan Futbol Academy,MLS NEXT Academy Division,2025-26
Michigan Jaguars,MLS NEXT Academy Division,2025-26
Michigan Jaguars United FC,MLS NEXT Academy Division,2025-26
Michigan Stars Elite,MLS NEXT Academy Division,2025-26
Michigan Tigers FC,MLS NEXT Academy Division,2025-26
Michigan Wolves,MLS NEXT Academy Division,2025-26
Midwest United FC,MLS NEXT Academy Division,2025-26
Minneapolis United SC,MLS NEXT Academy Division,2025-26
Modesto Ajax United,MLS NEXT Academy Division,2025-26
Monarchs AZ,MLS NEXT Academy Division,2025-26
Mt. Rainier Futbol Club,MLS NEXT Academy Division,2025-26
Napa United,MLS NEXT Academy Division,2025-26
NEFC,MLS NEXT Academy Division,2025-26
NEFC South,MLS NEXT Academy Division,2025-26
New England Surf SC,MLS NEXT Academy Division,2025-26
New Mexico Soccer Academy,MLS NEXT Academy Division,2025-26
New York Elite Alleycats FC,MLS NEXT Academy Division,2025-26
New York Rush,MLS NEXT Academy Division,2025-26
New York SC,MLS NEXT Academy Division,2025-26
NONA Soccer Academy,MLS NEXT Academy Division,2025-26
Oaks FC,MLS NEXT Academy Division,2025-26
Oakwood Soccer Club,MLS NEXT Academy Division,2025-26
One FC,MLS NEXT Academy Division,2025-26
One Knoxville SC,MLS NEXT Academy Division,2025-26
Oregon Surf SC,MLS NEXT Academy Division,2025-26
Orlando City Soccer School South,MLS NEXT Academy Division,2025-26
Orlando City Youth SC,MLS NEXT Academy Division,2025-26
Ozark United FC Academy,MLS NEXT Academy Division,2025-26
PA Classics,MLS NEXT Academy Division,2025-26
PA Classics Harrisburg,MLS NEXT Academy Division,2025-26
PDA Hibernian,MLS NEXT Academy Division,2025-26
Phoenix Premier FC,MLS NEXT Academy Division,2025-26
Phoenix Rising FC,MLS NEXT Academy Division,2025-26
Plantation FC Rush,MLS NEXT Academy Division,2025-26
Players Development Academy,MLS NEXT Academy Division,2025-26
Players SC,MLS NEXT Academy Division,2025-26
Queen City Mutiny FC,MLS NEXT Academy Division,2025-26
Real Futbol Academy,MLS NEXT Academy Division,2025-26
Rhode Island Surf SC,MLS NEXT Academy Division,2025-26
Rochester NY FC,MLS NEXT Academy Division,2025-26
Roswell Soccer Club,MLS NEXT Academy Division,2025-26
RSL Arizona,MLS NEXT Academy Division,2025-26
RSL Arizona Mesa,MLS NEXT Academy Division,2025-26
SA United SC,MLS NEXT Academy Division,2025-26
Sacramento United,MLS NEXT Academy Division,2025-26
Saint Paul Blackhawks,MLS NEXT Academy Division,2025-26
Saints Academy,MLS NEXT Academy Division,2025-26
San Francisco Glens SC,MLS NEXT Academy Division,2025-26
San Francisco Seals,MLS NEXT Academy Division,2025-26
SC Del Sol,MLS NEXT Academy Division,2025-26
SC Wave,MLS NEXT Academy Division,2025-26
Seacoast United,MLS NEXT Academy Division,2025-26
Seacoast United Mass,MLS NEXT Academy Division,2025-26
Seattle Celtic,MLS NEXT Academy Division,2025-26
SGA,MLS NEXT Academy Division,2025-26
Silicon Valley Soccer Academy,MLS NEXT Academy Division,2025-26
Skyline Soccer Association,MLS NEXT Academy Division,2025-26
SoCal Reds FC,MLS NEXT Academy Division,2025-26
Soccer Chance Academy,MLS NEXT Academy Division,2025-26
Sockers FC Chicago,MLS NEXT Academy Division,2025-26
Sol Sports Club,MLS NEXT Academy Division,2025-26
Sound FC,MLS NEXT Academy Division,2025-26
South Florida Football Academy,MLS NEXT Academy Division,2025-26
Southern Soccer Academy,MLS NEXT Academy Division,2025-26
Southern States Soccer,MLS NEXT Academy Division,2025-26
Sozo FC,MLS NEXT Academy Division,2025-26
Sparta United Soccer Club,MLS NEXT Academy Division,2025-26
Sporting Athletic Club,MLS NEXT Academy Division,2025-26
Sporting Blue Valley,MLS NEXT Academy Division,2025-26
Sporting City,MLS NEXT Academy Division,2025-26
Sporting Oklahoma,MLS NEXT Academy Division,2025-26
Sporting San Diego,MLS NEXT Academy Division,2025-26
Sporting Springfield,MLS NEXT Academy Division,2025-26
Sporting Wichita,MLS NEXT Academy Division,2025-26
Springfield SYC,MLS NEXT Academy Division,2025-26
St. Louis Development Academy,MLS NEXT Academy Division,2025-26
St. Louis Scott Gallagher,MLS NEXT Academy Division,2025-26
St. Louis Scott Gallagher IL,MLS NEXT Academy Division,2025-26
St. Louis Scott Gallagher St. Charles,MLS NEXT Academy Division,2025-26
Sting Nebraska,MLS NEXT Academy Division,2025-26
Strikers FC,MLS NEXT Academy Division,2025-26
Syracuse Development Academy,MLS NEXT Academy Division,2025-26
Tampa Bay United,MLS NEXT Academy Division,2025-26
The Football Academy,MLS NEXT Academy Division,2025-26
The St. James,MLS NEXT Academy Division,2025-26
Tonka Fusion Elite,MLS NEXT Academy Division,2025-26
Tormenta FC Academy,MLS NEXT Academy Division,2025-26
Total Futbol Academy,MLS NEXT Academy Division,2025-26
Trenton City Soccer Club,MLS NEXT Academy Division,2025-26
Triangle United Soccer Association,MLS NEXT Academy Division,2025-26
TSF Academy,MLS NEXT Academy Division,2025-26
Tulsa Greenwood SC,MLS NEXT Academy Division,2025-26
United Soccer Alliance,MLS NEXT Academy Division,2025-26
Valeo Futbol Club,MLS NEXT Academy Division,2025-26
Valor Soccer,MLS NEXT Academy Division,2025-26
Vardar Soccer Club,MLS NEXT Academy Division,2025-26
Ventura County Fusion,MLS NEXT Academy Division,2025-26
Virginia Revolution SC,MLS NEXT Academy Division,2025-26
Virginia Rush,MLS NEXT Academy Division,2025-26
Wake FC,MLS NEXT Academy Division,2025-26
Wasatch SC,MLS NEXT Academy Division,2025-26
Washington East Surf SC,MLS NEXT Academy Division,2025-26
Washington Rush,MLS NEXT Academy Division,2025-26
West Florida Flames,MLS NEXT Academy Division,2025-26
West Virginia Soccer,MLS NEXT Academy Division,2025-26
Western Washington Surf SC,MLS NEXT Academy Division,2025-26
Weston FC,MLS NEXT Academy Division,2025-26
Westside Metros FC,MLS NEXT Academy Division,2025-26
Westside Metros FC South,MLS NEXT Academy Division,2025-26
Whatcom Rangers,MLS NEXT Academy Division,2025-26
Wisconsin United FC,MLS NEXT Academy Division,2025-26
Woodside Soccer Club Crush,MLS NEXT Academy Division,2025-26
