club_name,city,state,league,tier,tier_label,source
Community SC,Linden,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Connetquot United Soccer Club,Bohemia,NY,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Coppermine SC,Baltimore,MD,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Coventry SA,Pottstown,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Cranbury Soccer Club,Cranbury,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Cranford SC,Cranford,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
CSB Youth Soccer Club,Brooklyn,NY,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
CT Rush,Glastonbury,CT,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Dallastown Soccer Club,York,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Danubia SC,Astoria,NY,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Delaware Football Club,Unknown,DE,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Delaware Futbol Academy,Unknown,DE,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Deptford FC,Deptford,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Dillsburg Area SC,Dillsburg,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
East Brunswick Soccer Club,East Brunswick,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
East Greenwich SA,East Greenwich,RI,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
East Hanover Soccer Club,East Hanover,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
East Penn SC,Emmaus,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
East Ramapo,Spring Valley,NY,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
East Windsor PAL,East Windsor,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Edison United SA,Edison,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Egg Harbor Township SC,Egg Harbor Township,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Elite Academy Jupiter,Jupiter,FL,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Elite Soccer Club Plainfield,Plainfield,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Elizabeth Youth Soccer,Elizabeth,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Elmwood Park Crew Soccer Club,Elmwood Park,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
ENCO United Soccer Club,Easton,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Ephrata Youth SC,Ephrata,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Europa Lions FC,Waldwick,NY,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Fairfield United SA,Fairfield,CT,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Fairfield Youth Soccer Club,Fairfield,CT,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Falls SC,Levittown,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
FC Ballyhoo,Flemington,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
FC Berna Legacy,Garfield,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
FC Brasil,Newark,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
FC Copa Academy,Hillsborough Township,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
FC DELCO,Wayne,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
FC Dutchmen Premier,Schenectady,NY,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
FC Montco,Lansdale,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
FC Neshanic,Neshanic Station,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
FC Pocono,East Stroudsburg,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
FC Somers,Somers,NY,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
FC Virginia,Richmond,VA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Fever SC,Woodbridge,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Florham Park Soccer Club,Florham Park,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Florida Legends FC,Unknown,FL,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Fort Lee Soccer League,Fort Lee,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Franklin Township SC,Franklin Township,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Franklin TWP Youth Soccer,Newfield,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Freehold SL,Freehold,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Futbol Total Academy NJ,North Plainfield,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Future Soccer Academy,Ridgefield Park,NY,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Gettysburg Youth Soccer Club,Gettysburg,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Hamilton Soccer Club,Allentown,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Hammonton YSA,Hammonton,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Hanover Soccer Club (NJ),Hanover,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Harford FC United,Forest Hill,MD,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Harrison SC,Harrison,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Haverford SC,Havertown,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Hazlet United,Hazlet,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Hempstead EOC,Hempstead,NY,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Hershey SC,Hershey,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
HEX FC,Hackensack,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Higher Level,East Greenwich,RI,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Highland Youth Soccer Club,Sicklerville,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Hillsborough SC,Hillsborough,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Hoboken United,Hoboken,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Holmdel FC,Holmdel,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Horsham Soccer,Horsham,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Howell United SC,Howell,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Hudson Valley Premier Program,Newburgh,NY,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Hulmeville SC,Hulmeville,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Hunter SC,Quakertown,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Huntingdon Valley AA,Huntingdon Valley,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Inter NJ Soccer Club,Kearny,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Iron Valley United SC,Lebanon,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Ironbound SC,Newark,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Ives Estates PSG,Miami,FL,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Jackson SC,Jackson,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
JAE Academy Plainfield,Plainfield,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
JCFC Academy,Unknown,CT,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Jersey City Soccer Association,Jersey City,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Jersey Crew SC,Midland Park,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Jersey Elite Soccer Academy,Parsippany,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Jersey Knights SC,Wayne,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Jersey Rangers Soccer Academy,Clifton,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Jersey Shore Boca Jr FC,Point Pleasant,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Jersey South FC,Evesham,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Juventus Academy Miami,Miami,FL,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Juventus Academy NY,Brooklyn,NY,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Kearny Thistle United FC,Kearny,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Key Biscayne SC,Key Biscayne,FL,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Keystone Athletic,Harrisburg,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Keystone FC,Lancaster,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Kids United - NY,Brooklyn,NY,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
King of Prussia SC,King of Prussia,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Lacey SC,Lacey Township,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Lancaster FC,Lancaster,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Lancaster Inferno,Lancaster,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Lansdowne Yonkers FC,Yonkers,NY,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
