club,club_id,season,league,region,coast_url
Lightning Soccer Club,935,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=935
Los Futboleros FC,274,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=274
Magnus FC,930,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=930
Maquina FC,218,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=218
Menifee Strykers,247,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=247
Minor Soccer League,414,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=414
Mount City Lobos FC,229,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=229
Newbury Park Elite FC,396,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=396
Nitemares Soccer Club,821,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=821
OJSC,411,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=411
Platinum IE,590,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=590
Pumas USA,975,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=975
Rancho Challenge FC,448,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=448
Red Lions FC,406,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=406
Rialto Fire,783,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=783
Riverside FC,805,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=805
Riverside MGFM S.C.,626,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=626
Royals Riverside,398,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=398
SC Antelope,931,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=931
SC Fire Legacy,244,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=244
Sentinels FC,269,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=269
Sherman Oaks Extreme SC,496,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=496
So Cal Eagles,392,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=392
Socal Blaze SC,289,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=289
South Bay Falcons,886,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=886
Spartans FC,831,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=831
Sporting CA VC/Arsenal,989,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=989
Sporting FC,443,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=443
Sporting Revolution FC,387,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=387
Strikers FC,301,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=301
Team USA,947,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=947
Titan Strikers,236,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=236
Titans FC,809,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=809
Torrance Soccer Club,257,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=257
Union Independiente YSL,657,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=657
