team_id,club_id,team_name,club_name,age_group,conference,league,season
118066,3694,Kernow Storm FC Frontier Pre-ECNL B15,Kernow Storm FC Frontier Pre-ECNL B15,B2015,Frontier,Pre-ECNL Boys,2025-26
114833,2133,OK Energy FC Pre-ECNL B15 III,OK Energy FC Pre-ECNL B15 III,B2015,Frontier,Pre-ECNL Boys,2025-26
117422,5136,Southwest MO Rush Pre-ECNL B15,Southwest MO Rush Pre-ECNL B15,B2015,Frontier,Pre-ECNL Boys,2025-26
73344,106,Tulsa SC Frontier Pre-ECNL B15,Tulsa SC Frontier Pre-ECNL B15,B2015,Frontier,Pre-ECNL Boys,2025-26
75636,3587,West Side Alliance Frontier Pre-ECNL B15,West Side Alliance Frontier Pre-ECNL B15,B2015,Frontier,Pre-ECNL Boys,2025-26
110908,4742,Cap City Athletic 1847 - Pre ECNL B15,Cap City Athletic 1847 - Pre ECNL B15,B2015,GMA,Pre-ECNL Boys,2025-26
121487,4858,Detroit City FC West - Pre ECNL RL B15,Detroit City FC West - Pre ECNL RL B15,B2015,GMA,Pre-ECNL Boys,2025-26
116298,4852,Legends FC Michigan - Pre-ECNL B15,Legends FC Michigan - Pre-ECNL B15,B2015,GMA,Pre-ECNL Boys,2025-26
120615,5203,Liverpool FC IA Central 15 B Pre-ECNL,Liverpool FC IA Central 15 B Pre-ECNL,B2015,GMA,Pre-ECNL Boys,2025-26
118821,5200,Liverpool FC IA North Oakland - North Oakland 15 B,Liverpool FC IA North Oakland - North Oakland 15 B,B2015,GMA,Pre-ECNL Boys,2025-26
106833,1720,Michigan Burn Pre ECNL RL B15,Michigan Burn Pre ECNL RL B15,B2015,GMA,Pre-ECNL Boys,2025-26
116625,4484,Michigan Rangers FC - Pre-ECNL B15,Michigan Rangers FC - Pre-ECNL B15,B2015,GMA,Pre-ECNL Boys,2025-26
115323,1713,Nationals SC - Cap Area PreECNL BLUE B15,Nationals SC - Cap Area PreECNL BLUE B15,B2015,GMA,Pre-ECNL Boys,2025-26
115314,1713,Nationals SC - Oakland PreECNL BLUE B15,Nationals SC - Oakland PreECNL BLUE B15,B2015,GMA,Pre-ECNL Boys,2025-26
115315,1713,Nationals SC - Oakland PreECNL GRAY B15,Nationals SC - Oakland PreECNL GRAY B15,B2015,GMA,Pre-ECNL Boys,2025-26
88684,1713,Nationals Soccer Club - Macomb PreECNL B15,Nationals Soccer Club - Macomb PreECNL B15,B2015,GMA,Pre-ECNL Boys,2025-26
120242,4874,TKO Premier SC Pre-ECNL B2015,TKO Premier SC,B2015,GMA,Pre-ECNL Boys,2025-26
98870,4315,FC United Pre-ECNL B14,FC United Pre-ECNL B14,B2015,Heartland,Pre-ECNL Boys,2025-26
117252,3486,FC Wichita Pre-ECNL B14,FC Wichita Pre-ECNL B14,B2015,Heartland,Pre-ECNL Boys,2025-26
112741,373,Gretna Elite Academy Pre-ECNL B14,Gretna Elite Academy Pre-ECNL B14,B2015,Heartland,Pre-ECNL Boys,2025-26
126752,3615,KC Fusion Pre-ECNL B14,KC Fusion Pre-ECNL B14,B2015,Heartland,Pre-ECNL Boys,2025-26
117748,2330,Kansas City Athletics Pre-ECNL B14,Kansas City Athletics Pre-ECNL B14,B2015,Heartland,Pre-ECNL Boys,2025-26
118057,3740,Kansas City Surf Foster Pre-ECNL B14,Kansas City Surf Foster Pre-ECNL B14,B2015,Heartland,Pre-ECNL Boys,2025-26
118056,3740,Kansas City Surf Steging Pre-ECNL B14,Kansas City Surf Steging Pre-ECNL B14,B2015,Heartland,Pre-ECNL Boys,2025-26
117722,3696,Kansas Rush Pre-ECNL B14,Kansas Rush Pre-ECNL B14,B2015,Heartland,Pre-ECNL Boys,2025-26
114760,1730,Missouri Rush Pre-ECNL B14,Missouri Rush Pre-ECNL B14,B2015,Heartland,Pre-ECNL Boys,2025-26
117752,3483,Sporting Iowa Pre-ECNL B14,Sporting Iowa Pre-ECNL B14,B2015,Heartland,Pre-ECNL Boys,2025-26
