league,event_id,club,gotsport_url
NorCal NPL,44145,Marin FC,https://system.gotsport.com/org_event/events/44145/clubs/13019
NorCal NPL,44145,Mendocino County Sports Academy,https://system.gotsport.com/org_event/events/44145/clubs/13026
NorCal NPL,44145,Merced United FC,https://system.gotsport.com/org_event/events/44145/clubs/13070
NorCal NPL,44145,Mission Youth Soccer League,https://system.gotsport.com/org_event/events/44145/clubs/12537
NorCal NPL,44145,Monterey Surf Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/13007
NorCal NPL,44145,Mt Diablo Mustang Soccer,https://system.gotsport.com/org_event/events/44145/clubs/31187
NorCal NPL,44145,Mustang Soccer,https://system.gotsport.com/org_event/events/44145/clubs/10952
NorCal NPL,44145,MVLA,https://system.gotsport.com/org_event/events/44145/clubs/11058
NorCal NPL,44145,MVLA East,https://system.gotsport.com/org_event/events/44145/clubs/12993
NorCal NPL,44145,Napa Sport Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/13025
NorCal NPL,44145,Napa United,https://system.gotsport.com/org_event/events/44145/clubs/13015
NorCal NPL,44145,Natomas Rush FC,https://system.gotsport.com/org_event/events/44145/clubs/13004
NorCal NPL,44145,North Bay Premier Club,https://system.gotsport.com/org_event/events/44145/clubs/19521
NorCal NPL,44145,North Coast Futbol Club,https://system.gotsport.com/org_event/events/44145/clubs/12999
NorCal NPL,44145,Northern Nevada Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/13817
NorCal NPL,44145,North Marin United,https://system.gotsport.com/org_event/events/44145/clubs/13022
NorCal NPL,44145,Oakland Genesis,https://system.gotsport.com/org_event/events/44145/clubs/22572
NorCal NPL,44145,Oakland Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/11067
NorCal NPL,44145,OV Toros FC,https://system.gotsport.com/org_event/events/44145/clubs/13069
NorCal NPL,44145,Pacifica United Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/11047
NorCal NPL,44145,Pajaro Valley Youth Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/10944
NorCal NPL,44145,Palo Alto SC,https://system.gotsport.com/org_event/events/44145/clubs/8215
NorCal NPL,44145,Peninsula Youth Soccer,https://system.gotsport.com/org_event/events/44145/clubs/8216
NorCal NPL,44145,Piedmont SC,https://system.gotsport.com/org_event/events/44145/clubs/11068
NorCal NPL,44145,Placer United Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/8214
NorCal NPL,44145,PSV Union FC Academy,https://system.gotsport.com/org_event/events/44145/clubs/12979
NorCal NPL,44145,Real Atletico Futbol Club,https://system.gotsport.com/org_event/events/44145/clubs/13046
NorCal NPL,44145,Real Salinas,https://system.gotsport.com/org_event/events/44145/clubs/13094
NorCal NPL,44145,Reno APEX Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/12893
NorCal NPL,44145,Revolution FC,https://system.gotsport.com/org_event/events/44145/clubs/25259
NorCal NPL,44145,Revolution SC,https://system.gotsport.com/org_event/events/44145/clubs/13114
NorCal NPL,44145,Richmond Sol Cobras,https://system.gotsport.com/org_event/events/44145/clubs/13113
NorCal NPL,44145,Richmond United SC,https://system.gotsport.com/org_event/events/44145/clubs/11065
NorCal NPL,44145,Rocklin FC,https://system.gotsport.com/org_event/events/44145/clubs/11085
NorCal NPL,44145,Roseville Youth Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/11084
NorCal NPL,44145,Sacramento Alliance SC,https://system.gotsport.com/org_event/events/44145/clubs/13036
NorCal NPL,44145,Sacramento United,https://system.gotsport.com/org_event/events/44145/clubs/13008
NorCal NPL,44145,San Carlos United Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/11052
NorCal NPL,44145,San Francisco Glens Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/13052
NorCal NPL,44145,San Francisco Seals,https://system.gotsport.com/org_event/events/44145/clubs/12983
NorCal NPL,44145,Sanger FC,https://system.gotsport.com/org_event/events/44145/clubs/19499
NorCal NPL,44145,San Jose Rush,https://system.gotsport.com/org_event/events/44145/clubs/13087
NorCal NPL,44145,San Juan South Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/13064
NorCal NPL,44145,San Mateo County FC,https://system.gotsport.com/org_event/events/44145/clubs/13054
NorCal NPL,44145,San Pablo United YSC,https://system.gotsport.com/org_event/events/44145/clubs/11064
NorCal NPL,44145,Santa Clara Sporting,https://system.gotsport.com/org_event/events/44145/clubs/8444
NorCal NPL,44145,Santa Cruz City Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/10943
NorCal NPL,44145,Santa Cruz Mid-County Youth Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/10945
NorCal NPL,44145,Santa Cruz United Football Club,https://system.gotsport.com/org_event/events/44145/clubs/13066
NorCal NPL,44145,Santa Rosa Empire Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/13032
NorCal NPL,44145,Santa Rosa United Soccer,https://system.gotsport.com/org_event/events/44145/clubs/13080
NorCal NPL,44145,Sentinels Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/13079
NorCal NPL,44145,SF Aftershocks FC,https://system.gotsport.com/org_event/events/44145/clubs/13050
NorCal NPL,44145,SF United FC,https://system.gotsport.com/org_event/events/44145/clubs/13061
NorCal NPL,44145,Sheriffs FC,https://system.gotsport.com/org_event/events/44145/clubs/9165
NorCal NPL,44145,Sierra Surf SC,https://system.gotsport.com/org_event/events/44145/clubs/8295
NorCal NPL,44145,Silicon Valley Eagles,https://system.gotsport.com/org_event/events/44145/clubs/13612
NorCal NPL,44145,Solano Surf,https://system.gotsport.com/org_event/events/44145/clubs/10402
NorCal NPL,44145,Sonoma County Premier,https://system.gotsport.com/org_event/events/44145/clubs/13060
NorCal NPL,44145,Sonoma Valley United,https://system.gotsport.com/org_event/events/44145/clubs/12987
NorCal NPL,44145,South Tahoe FC,https://system.gotsport.com/org_event/events/44145/clubs/7945
NorCal NPL,44145,South Valley Chivas Academy,https://system.gotsport.com/org_event/events/44145/clubs/13057
NorCal NPL,44145,South Valley United Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/13248
NorCal NPL,44145,Stanford Strikers FC,https://system.gotsport.com/org_event/events/44145/clubs/8384
NorCal NPL,44145,Stanislaus United,https://system.gotsport.com/org_event/events/44145/clubs/8488
NorCal NPL,44145,Stockton Storm Futbol Club,https://system.gotsport.com/org_event/events/44145/clubs/13058
NorCal NPL,44145,Stockton TLJ FC,https://system.gotsport.com/org_event/events/44145/clubs/13614
NorCal NPL,44145,Sunnyvale Alliance SC,https://system.gotsport.com/org_event/events/44145/clubs/11057
NorCal NPL,44145,Tahuichi F.C. Youth Soccer,https://system.gotsport.com/org_event/events/44145/clubs/13078
NorCal NPL,44145,Tracy United,https://system.gotsport.com/org_event/events/44145/clubs/13045
NorCal NPL,44145,TSP FC,https://system.gotsport.com/org_event/events/44145/clubs/13044
NorCal NPL,44145,Turlock Academica Jrs,https://system.gotsport.com/org_event/events/44145/clubs/11025
NorCal NPL,44145,UC Premier,https://system.gotsport.com/org_event/events/44145/clubs/10960
NorCal NPL,44145,Union Sacramento FC,https://system.gotsport.com/org_event/events/44145/clubs/13002
NorCal NPL,44145,USA Stars Academy,https://system.gotsport.com/org_event/events/44145/clubs/13033
NorCal NPL,44145,Vacaville United Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/10992
NorCal NPL,44145,Valley Surf | America,https://system.gotsport.com/org_event/events/44145/clubs/18474
NorCal NPL,44145,Valley United Soccer Club Association,https://system.gotsport.com/org_event/events/44145/clubs/13075
NorCal NPL,44145,Walnut Creek Surf Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/10956
NorCal NPL,44145,West Coast Soccer,https://system.gotsport.com/org_event/events/44145/clubs/8461
NorCal NPL,44145,West Coast Soccer Tracy,https://system.gotsport.com/org_event/events/44145/clubs/13129
NorCal NPL,44145,West Valley Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/13109
NorCal NPL,44145,Woodland Soccer Club,https://system.gotsport.com/org_event/events/44145/clubs/11192
NorCal NPL,44145,WSC Crush,https://system.gotsport.com/org_event/events/44145/clubs/13034
FCL NPL (Florida),44970,"AC Delray, Inc.",https://system.gotsport.com/org_event/events/44970/clubs/10069
FCL NPL (Florida),44970,Amelia Island YSO,https://system.gotsport.com/org_event/events/44970/clubs/10177
FCL NPL (Florida),44970,Ancient City SC,https://system.gotsport.com/org_event/events/44970/clubs/10176
FCL NPL (Florida),44970,"Azzurri Storm Soccer, Inc.",https://system.gotsport.com/org_event/events/44970/clubs/10104
FCL NPL (Florida),44970,Barcelona Soccer Academy,https://system.gotsport.com/org_event/events/44970/clubs/10158
FCL NPL (Florida),44970,Big Sun YSL,https://system.gotsport.com/org_event/events/44970/clubs/8234
FCL NPL (Florida),44970,Boynton Beach Knights,https://system.gotsport.com/org_event/events/44970/clubs/10117
FCL NPL (Florida),44970,Brevard SA,https://system.gotsport.com/org_event/events/44970/clubs/10151
FCL NPL (Florida),44970,Cape Coral Soccer,https://system.gotsport.com/org_event/events/44970/clubs/9019
FCL NPL (Florida),44970,Chargers SC LWR,https://system.gotsport.com/org_event/events/44970/clubs/12656
FCL NPL (Florida),44970,Chargers SC TPA,https://system.gotsport.com/org_event/events/44970/clubs/12657
FCL NPL (Florida),44970,Davie United SC,https://system.gotsport.com/org_event/events/44970/clubs/10098
FCL NPL (Florida),44970,"DME Academy, Sarasota",https://system.gotsport.com/org_event/events/44970/clubs/27638
FCL NPL (Florida),44970,Doral SC,https://system.gotsport.com/org_event/events/44970/clubs/9424
FCL NPL (Florida),44970,Dunedin Stirling SC,https://system.gotsport.com/org_event/events/44970/clubs/10170
FCL NPL (Florida),44970,FC America,https://system.gotsport.com/org_event/events/44970/clubs/12647
FCL NPL (Florida),44970,FC Prime,https://system.gotsport.com/org_event/events/44970/clubs/10144
FCL NPL (Florida),44970,FC Sarasota Inc,https://system.gotsport.com/org_event/events/44970/clubs/10121
FCL NPL (Florida),44970,FC Tampa Rangers,https://system.gotsport.com/org_event/events/44970/clubs/9413
FCL NPL (Florida),44970,FD Football Club,https://system.gotsport.com/org_event/events/44970/clubs/27490
FCL NPL (Florida),44970,Florida Celtic,https://system.gotsport.com/org_event/events/44970/clubs/3731
FCL NPL (Florida),44970,Florida Kraze Krush,https://system.gotsport.com/org_event/events/44970/clubs/9984
FCL NPL (Florida),44970,Florida Premier FC,https://system.gotsport.com/org_event/events/44970/clubs/3681
FCL NPL (Florida),44970,Florida Tropics Academy,https://system.gotsport.com/org_event/events/44970/clubs/25447
FCL NPL (Florida),44970,Fort Lauderdale United FC,https://system.gotsport.com/org_event/events/44970/clubs/12878
FCL NPL (Florida),44970,GOT FC,https://system.gotsport.com/org_event/events/44970/clubs/27492
FCL NPL (Florida),44970,Hernando SC,https://system.gotsport.com/org_event/events/44970/clubs/10136
FCL NPL (Florida),44970,Herron Soccer Academy,https://system.gotsport.com/org_event/events/44970/clubs/13452
FCL NPL (Florida),44970,Jacksonville FC,https://system.gotsport.com/org_event/events/44970/clubs/1093
FCL NPL (Florida),44970,Kings Hammer Swan City Soccer Club,https://system.gotsport.com/org_event/events/44970/clubs/5066
FCL NPL (Florida),44970,Mako Soccer Club,https://system.gotsport.com/org_event/events/44970/clubs/9174
FCL NPL (Florida),44970,Naples Elite Soccer Club,https://system.gotsport.com/org_event/events/44970/clubs/26811
FCL NPL (Florida),44970,"Nature Coast Soccer Club, Inc.",https://system.gotsport.com/org_event/events/44970/clubs/10141
FCL NPL (Florida),44970,North Manatee Soccer,https://system.gotsport.com/org_event/events/44970/clubs/13689
