club_id,club_name,region,state,conferences,age_groups,website
1501,FC Pride Elite,East,IN,Ohio Valley,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://fcpride.org
1560,NM Rapids,Central,NM,Mountain,B2008 | B2009 | B2010 | B2011,https://nmrapids.org
1585,Marin FC,West,CA,Northern Cal,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://marinfc.org
1643,Seattle United,West,WA,Northwest,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://seattleunited.com
1689,South Carolina United,East,SC,Southeast,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://scunitedsoccer.com
1693,FC Alliance,Central,TN,Mid-America,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://fcalliancetn.com
1713,Nationals Soccer Club,East,OH,Ohio Valley,B2008 | B2009 | B2010 | B2011 | B2013,https://nationalssoccer.com
1726,Sporting Nebraska FC,Central,NE,Heartland,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://sportingnebraskafc.com
1730,Missouri Rush,Central,MO,Heartland,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://missourirush.com
1760,La Roca FC,Central,UT,Mountain,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://larocafc.org
1771,BVBIA,Central,TX,Texas,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://bvbia-northamerica.com
1772,RISE SC,Central,TX,Texas,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://risesc.org
1785,VDA,East,VA,Mid-Atlantic,B2008 | B2009 | B2010 | B2011 | B2012,https://vdava.com
1797,FC Wisconsin,East,WI,Midwest,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://fcwisconsin.com
1813,Idaho Rush,West,ID,Far West,B2008 | B2009 | B2011 | B2012 | B2013,https://idahorush.com
1919,Space Coast United,East,FL,Florida,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://spacecoastsoccer.org
1925,Fort Lauderdale United FC,East,FL,Florida,B2008 | B2009 | B2010 | B2012 | B2013,https://ftlutd.com
1936,CCV Stars,Central,AZ,Mountain,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://ccvstars.com
1940,Potomac SA,East,MD,North Atlantic,B2008 | B2010 | B2011 | B2012 | B2013,https://potomacsoccer.org
2017,Rockford Raptors,East,IL,Midwest,B2008 | B2009 | B2011 | B2013,https://rockfordraptors.org
2106,Chicago Magic,East,IL,Midwest,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://chicagomagicsc.com
2133,OK Energy FC,Central,OK,Texas,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://okenergyfc.org
2167,Chicago Inter Soccer,East,IL,Midwest,B2008 | B2009 | B2010 | B2011 | B2012,https://chicagointersoccer.com
2181,Wilmington Hammerheads,East,NC,Mid-Atlantic,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://wilmingtonhammerheads.com
2229,3RSC,West,WA,Northwest,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://3rsc.org
2235,Lobos Rush,Central,TN,Mid-America,B2008 | B2009 | B2010 | B2011 | B2012,https://lobosrush.com
2237,Doral Soccer Club,East,FL,Florida,B2008 | B2010 | B2011 | B2013,https://doralsoccer.com
2257,Indiana Elite FC,East,IN,Midwest,B2008 | B2009 | B2010 | B2012 | B2013,https://indianaelitefc.com
2258,HTX,Central,TX,Texas,B2008 | B2009 | B2010 | B2012 | B2013,https://htxsoccer.com
2289,LA Breakers FC,West,CA,Southwest,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://labreakersfc.com
2322,Columbia Premier SC,West,OR,Northwest,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://columbiapremiersc.com
2329,FC Prime,East,FL,Florida,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://fc-prime.com
2330,Kansas City Athletics,Central,KS,Heartland,B2008 | B2010 | B2012 | B2013,https://athleticskc.com
2331,PacNW SC,West,WA,Northwest,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://pacnwsc.com
2335,Pride SC,Central,CO,Mountain,B2009 | B2010 | B2011 | B2012 | B2013,https://pridesc.com
2519,San Antonio City SC,Central,TX,Texas,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://sacitysc.com
2522,Snohomish United,West,WA,Northwest,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://snohomishunited.com
2536,United PDX,West,OR,Far West,B2009 | B2010 | B2011 | B2012 | B2013,https://unitedpdx.com
2548,Santa Clara Sporting,West,CA,Northern Cal,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://santaclarasporting.com
2701,Delaware FC,East,DE,North Atlantic,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://delawarefc.com
2731,FL Premier FC,East,FL,Florida,B2008 | B2009 | B2010 | B2011 | B2012,https://floridapremierfc.com
2937,Oregon Premier,West,OR,Far West,B2008 | B2009 | B2010 | B2013,https://oregonpremierfc.com
2955,River Islands Surf B13 ECNL,West,CA,Northern Cal,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://riverislandssurf.com
3054,Placer United,West,CA,Northern Cal,B2008 | B2009 | B2011 | B2012 | B2013,https://placerunited.com
3065,Association FC,West,CA,Northern Cal,B2008 | B2009 | B2010 | B2012 | B2013,https://associationfc.com
3109,Palm Beach United,East,FL,Florida,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://palmbeachunited.org
3231,Los Gatos United,West,CA,Northern Cal,B2009 | B2010 | B2011 | B2012 | B2013,https://losgatosunited.com
3232,Chattanooga Red Wolves SC,Central,TN,Mid-America,B2011 | B2012 | B2013,https://chattanoogarwsc.com
3234,FC Westlake,Central,TX,Texas,B2008 | B2009 | B2011 | B2012 | B2013,https://fcwestlake.com
3384,Florida West FC,East,FL,Florida,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://floridawestfc.com
3387,Parkland SC,East,FL,Florida,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://parklandtravelsoccer.com
3405,Pipeline SC,East,MD,North Atlantic,B2008 | B2009 | B2010 | B2011 | B2013,https://pipelinesc.org
3407,United Futbol Academy,East,GA,Southeast,B2008 | B2009 | B2010 | B2012 | B2013,https://unitedfa.org
