club_id,team_id,club_name,conference,age_group
1919,44610,Space Coast United,Florida,B2011
2329,59550,FC Prime,Florida,B2011
3387,48694,Parkland SC,Florida,B2011
3384,68723,Florida West FC,Florida,B2011
1919,44616,Space Coast United,Florida,B2010
1925,44806,Fort Lauderdale United FC,Florida,B2010
3109,46850,Palm Beach United,Florida,B2010
2237,114354,Doral Soccer Club,Florida,B2010
3384,68715,Florida West FC,Florida,B2010
2329,61825,FC Prime,Florida,B2010
3387,48695,Parkland SC,Florida,B2009
1353,45071,Sporting Jax,Florida,B2009
2329,46711,FC Prime,Florida,B2009
1919,44617,Space Coast United,Florida,B2009
1925,35790,Fort Lauderdale United FC,Florida,B2009
3384,45631,Florida West FC,Florida,B2009
1919,44614,Space Coast United,Florida,B2008
2237,114305,Doral Soccer Club,Florida,B2008
1353,46908,Sporting Jax,Florida,B2008
3387,67202,Parkland SC,Florida,B2008
3109,34896,Palm Beach United,Florida,B2008
2329,68942,FC Prime,Florida,B2008
3384,46058,Florida West FC,Florida,B2008
3723,113117,VSA Rush,Heartland,B2013
373,98185,Gretna Elite Academy,Heartland,B2013
1730,114374,Missouri Rush,Heartland,B2013
3480,111682,Union KC,Heartland,B2013
1726,98187,Sporting Nebraska FC,Heartland,B2013
3696,116871,Kansas Rush,Heartland,B2013
2330,116233,Kansas City Athletics,Heartland,B2013
3483,96755,Sporting Iowa,Heartland,B2012
1726,94480,Sporting Nebraska FC,Heartland,B2012
3480,96719,Union KC,Heartland,B2012
373,94436,Gretna Elite Academy,Heartland,B2012
2330,95651,Kansas City Athletics,Heartland,B2012
3696,98221,Kansas Rush,Heartland,B2012
1726,81306,Sporting Nebraska FC,Heartland,B2011
3723,81209,VSA Rush,Heartland,B2011
3696,82020,Kansas Rush,Heartland,B2011
3486,83107,FC Wichita,Heartland,B2011
1730,114372,Missouri Rush,Heartland,B2011
3723,69155,VSA Rush,Heartland,B2010
1726,68677,Sporting Nebraska FC,Heartland,B2010
5147,112783,St. Louis Stars,Heartland,B2010
3696,82021,Kansas Rush,Heartland,B2010
1730,114371,Missouri Rush,Heartland,B2010
3723,60229,VSA Rush,Heartland,B2009
3486,60487,FC Wichita,Heartland,B2009
1730,114370,Missouri Rush,Heartland,B2009
3480,59538,Union KC,Heartland,B2009
5147,116973,St. Louis Stars,Heartland,B2009
1726,117186,Sporting Nebraska FC,Heartland,B2008
3723,60358,VSA Rush,Heartland,B2008
373,48121,Gretna Elite Academy,Heartland,B2008
3483,60486,Sporting Iowa,Heartland,B2008
1730,114369,Missouri Rush,Heartland,B2008
3486,60488,FC Wichita,Heartland,B2008
5147,116974,St. Louis Stars,Heartland,B2008
18,98515,Alabama FC,Mid-America,B2013
3589,98519,Germantown Legends,Mid-America,B2013
1693,113253,FC Alliance,Mid-America,B2013
3232,96440,Chattanooga Red Wolves SC,Mid-America,B2013
4327,110630,Mississippi Rush United,Mid-America,B2013
1693,94730,FC Alliance,Mid-America,B2012
3589,94925,Germantown Legends,Mid-America,B2012
3232,96438,Chattanooga Red Wolves SC,Mid-America,B2012
4327,81760,Mississippi Rush United,Mid-America,B2011
1693,71840,FC Alliance,Mid-America,B2011
3232,96436,Chattanooga Red Wolves SC,Mid-America,B2011
1693,69118,FC Alliance,Mid-America,B2010
4327,81771,Mississippi Rush United,Mid-America,B2010
3589,83075,Germantown Legends,Mid-America,B2010
4327,81772,Mississippi Rush United,Mid-America,B2009
2235,82591,Lobos Rush,Mid-America,B2009
1693,58716,FC Alliance,Mid-America,B2009
3589,83079,Germantown Legends,Mid-America,B2008
5213,114282,Louisiana Fire Soccer Club,Mid-America,B2008
18,46808,Alabama FC,Mid-America,B2008
4327,112599,Mississippi Rush United,Mid-America,B2008
2235,82592,Lobos Rush,Mid-America,B2008
1693,35107,FC Alliance,Mid-America,B2008
22,112372,NCFC Youth,Mid-Atlantic,B2013
417,115036,Richmond United,Mid-Atlantic,B2013
2181,114821,Wilmington Hammerheads,Mid-Atlantic,B2013
26,112516,Charlotte SA,Mid-Atlantic,B2013
628,112502,Beach FC (VA),Mid-Atlantic,B2013
3739,117887,Skyline Elite,Mid-Atlantic,B2013
4603,111259,Fairfax Virginia Union,Mid-Atlantic,B2013
4012,83743,Highland FC,Mid-Atlantic,B2013
22,94741,NCFC Youth,Mid-Atlantic,B2012
2181,95474,Wilmington Hammerheads,Mid-Atlantic,B2012
4012,83742,Highland FC,Mid-Atlantic,B2012
71,95057,NC Fusion,Mid-Atlantic,B2012
4603,96992,Fairfax VA Union,Mid-Atlantic,B2012
4012,81824,Highland FC,Mid-Atlantic,B2011
628,67861,Beach FC (VA),Mid-Atlantic,B2011
3739,82062,Skyline Elite,Mid-Atlantic,B2011
26,82097,Charlotte SA,Mid-Atlantic,B2011
4603,96991,Fairfax VA Union,Mid-Atlantic,B2011
22,69431,NCFC Youth,Mid-Atlantic,B2010
71,62866,NC Fusion,Mid-Atlantic,B2010
2181,69448,Wilmington Hammerheads,Mid-Atlantic,B2010
3739,60154,Skyline Elite,Mid-Atlantic,B2010
4012,69685,Highland FC,Mid-Atlantic,B2010
417,59621,Richmond United,Mid-Atlantic,B2009
22,60275,NCFC Youth,Mid-Atlantic,B2009
71,37377,NC Fusion,Mid-Atlantic,B2009
4012,69687,Highland FC,Mid-Atlantic,B2009
4603,96989,Fairfax VA Union,Mid-Atlantic,B2009
26,112514,Charlotte SA Academy,Mid-Atlantic,B2008
628,67844,Beach FC (VA),Mid-Atlantic,B2008
417,45977,Richmond United,Mid-Atlantic,B2008
2181,46816,Wilmington Hammerheads,Mid-Atlantic,B2008
26,112522,Charlotte SA,Mid-Atlantic,B2008
525,82205,Arlington Soccer,Mid-Atlantic,B2008
4603,96988,Fairfax Virginia Union,Mid-Atlantic,B2008
22,45792,NCFC Youth,Mid-Atlantic,B2008
4012,69690,Highland FC,Mid-Atlantic,B2008
43,98454,Eclipse Select SC,Midwest,B2013
67,87802,Minnesota Thunder,Midwest,B2013
1797,113569,FC Wisconsin,Midwest,B2013
2257,80548,Indiana Elite FC,Midwest,B2013
2017,98304,Rockford Raptors,Midwest,B2013
893,84517,St Croix,Midwest,B2012
67,84638,Minnesota Thunder,Midwest,B2012
2257,80550,Indiana Elite FC,Midwest,B2012
43,94579,Eclipse Select SC,Midwest,B2012
893,81660,St Croix,Midwest,B2011
1797,70426,FC Wisconsin,Midwest,B2011
2167,117703,Chicago Inter Soccer,Midwest,B2011
67,82927,Minnesota Thunder,Midwest,B2011
67,69525,Minnesota Thunder,Midwest,B2010
43,70285,Eclipse Select SC,Midwest,B2010
2167,117704,Chicago Inter Soccer,Midwest,B2010
2106,70231,Chicago Magic,Midwest,B2010
1797,60088,FC Wisconsin,Midwest,B2009
2106,68208,Chicago Magic,Midwest,B2009
2167,117705,Chicago Inter Soccer,Midwest,B2009
2257,25230,Indiana Elite FC,Midwest,B2009
67,46775,Minnesota Thunder,Midwest,B2008
893,60125,St. Croix,Midwest,B2008
2106,68209,Chicago Magic,Midwest,B2008
2167,117707,Chicago Inter Soccer,Midwest,B2008
2257,26502,Indiana Elite FC,Midwest,B2008
3639,112846,Colorado EDGE SC,Mountain,B2013
81,113305,Real Colorado National,Mountain,B2013
2335,111974,Pride SC,Mountain,B2013
29,114004,Colorado Rapids Central,Mountain,B2013
1936,95670,CCV Stars,Mountain,B2013
592,94416,Arizona Arsenal,Mountain,B2013
2335,94786,Pride SC,Mountain,B2012
81,95150,Real Colorado National,Mountain,B2012
3639,112847,Colorado EDGE SC,Mountain,B2012
592,82315,Arizona Arsenal,Mountain,B2012
1760,94430,La Roca FC,Mountain,B2012
1936,95669,CCV Stars,Mountain,B2012
2335,78631,Pride SC,Mountain,B2011
1560,81384,NM Rapids,Mountain,B2011
3639,112848,Colorado EDGE SC,Mountain,B2011
1936,95668,CCV Stars,Mountain,B2011
592,80714,Arizona Arsenal,Mountain,B2011
29,82624,Colorado Rapids Central,Mountain,B2011
4368,97083,El Paso Locomotive,Mountain,B2010
3639,112849,Colorado EDGE SC,Mountain,B2010
2335,59884,Pride SC,Mountain,B2010
28,112019,Colorado Rush Academy Blue,Mountain,B2010
29,82623,Colorado Rapids Central,Mountain,B2010
1760,69013,La Roca FC,Mountain,B2010
2335,46852,Pride SC,Mountain,B2009
3639,112850,Colorado EDGE SC,Mountain,B2009
29,82622,Colorado Rapids Central,Mountain,B2009
1936,95666,CCV Stars,Mountain,B2009
1760,46118,La Roca FC,Mountain,B2009
28,112018,Colorado Rush Academy Blue,Mountain,B2009
81,46854,Real Colorado National,Mountain,B2008
3639,112852,Colorado EDGE SC,Mountain,B2008
1560,45741,NM Rapids,Mountain,B2008
29,82621,Colorado Rapids Central,Mountain,B2008
592,46878,Arizona Arsenal,Mountain,B2008
1936,95665,CCV Stars,Mountain,B2008
28,112017,Colorado Rush Academy Blue,Mountain,B2008
428,96740,STA,New England,B2013
518,113900,Manhattan SC,New England,B2013
1409,115173,East Coast Surf SC,New England,B2013
94,94751,Scorpions SC,New England,B2013
9,114494,SUSA FC,New England,B2013
52,94546,FC Stars,New England,B2013
4370,116991,AC Connecticut,New England,B2013
31,96817,Connecticut FC United,New England,B2013
42,95605,East Meadow SC,New England,B2013
4370,97125,AC Connecticut,New England,B2012
431,82169,FSA FC,New England,B2012
42,82245,East Meadow SC,New England,B2012
31,96816,Connecticut FC United,New England,B2012
9,114728,SUSA FC,New England,B2012
94,116956,Scorpions SC,New England,B2012
52,94543,FC Stars,New England,B2012
31,69751,Connecticut FC United,New England,B2011
94,116954,Scorpions SC,New England,B2011
4370,84146,AC Connecticut,New England,B2011
42,40955,East Meadow SC,New England,B2011
518,70075,Manhattan SC,New England,B2011
9,114493,SUSA FC,New England,B2011
52,68685,FC Stars,New England,B2010
31,58274,Connecticut FC United,New England,B2010
94,116953,Scorpions SC,New England,B2010
9,114492,SUSA FC,New England,B2010
4370,84145,AC Connecticut,New England,B2010
42,60356,East Meadow SC,New England,B2010
31,31326,Connecticut FC United,New England,B2009
52,46889,FC Stars,New England,B2009
94,116952,Scorpions SC,New England,B2009
4370,84148,AC Connecticut,New England,B2009
42,60237,East Meadow SC,New England,B2009
9,114724,SUSA FC,New England,B2009
9,35816,SUSA FC ACADEMY,New England,B2008
31,46830,Connecticut FC United,New England,B2008
94,116951,Scorpions SC,New England,B2008
1409,117475,East Coast Surf SC,New England,B2008
116,46888,World Class FC,New England,B2008
42,14319,East Meadow SC,New England,B2008
4370,84149,AC Connecticut,New England,B2008
9,114722,SUSA FC,New England,B2008
46,95337,HEX FC Dominion,North Atlantic,B2013
419,95034,Maryland United FC,North Atlantic,B2013
1940,96841,Potomac SA,North Atlantic,B2013
2701,117063,Delaware FC,North Atlantic,B2013
4338,112987,PSA Monmouth,North Atlantic,B2013
64,88549,Match Fit Surf,North Atlantic,B2013
4355,88601,SJEB FC,North Atlantic,B2013
494,112320,Baltimore Celtic,North Atlantic,B2013
1940,94855,Potomac SA,North Atlantic,B2012
1345,114662,Philadelphia Ukrainian Nationals,North Atlantic,B2012
494,80788,Baltimore Celtic,North Atlantic,B2012
46,95042,HEX FC Dominion,North Atlantic,B2012
419,94640,Maryland United FC,North Atlantic,B2012
451,93619,LVU Rush,North Atlantic,B2012
4338,112983,PSA Monmouth,North Atlantic,B2012
64,77567,Match Fit Surf,North Atlantic,B2012
419,81398,Maryland United FC,North Atlantic,B2011
2701,83784,Delaware FC,North Atlantic,B2011
451,66524,LVU Rush,North Atlantic,B2011
494,80782,Baltimore Celtic,North Atlantic,B2011
1940,81284,Potomac SA,North Atlantic,B2011
64,52824,Match Fit Surf,North Atlantic,B2011
46,81423,HEX FC Dominion,North Atlantic,B2011
64,35918,Match Fit Surf,North Atlantic,B2010
1940,81286,Potomac SA,North Atlantic,B2010
4355,82610,SJEBFC,North Atlantic,B2010
419,69709,Maryland United FC,North Atlantic,B2010
4338,112985,PSA Monmouth,North Atlantic,B2010
1345,80911,Philadelphia Ukrainian Nationals,North Atlantic,B2010
451,66526,LVU Rush,North Atlantic,B2010
494,68756,Baltimore Celtic,North Atlantic,B2010
3405,55382,Pipeline SC,North Atlantic,B2009
419,59788,Maryland United FC,North Atlantic,B2009
1345,71084,Philadelphia Ukrainian Nationals,North Atlantic,B2009
2701,83786,Delaware FC,North Atlantic,B2009
4338,112986,PSA Monmouth,North Atlantic,B2009
46,46860,HEX FC Dominion,North Atlantic,B2009
4355,82611,SJEBFC,North Atlantic,B2009
494,59254,Baltimore Celtic,North Atlantic,B2009
451,66531,LVU Rush,North Atlantic,B2008
1940,115501,Potomac SA,North Atlantic,B2008
1345,114661,Philadelphia Ukrainian Nationals,North Atlantic,B2008
79,46887,Penn Fusion SA,North Atlantic,B2008
2701,83787,Delaware FC,North Atlantic,B2008
3405,46026,Pipeline SC,North Atlantic,B2008
64,24886,Match Fit Surf,North Atlantic,B2008
494,46890,Baltimore Celtic,North Atlantic,B2008
