state,region,name,website,lat,lon,governing_body,source
MO,STL Metro,St. Louis Steamers Crew,https://steamerscrew.com/,38.4614761,-90.2292048,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,United Springfield Academy,https://www.unitedspringfieldacademy.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,United STL Academy,https://unitedstlacademy.sportngin.com/home,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Rolla Area Youth Soccer League,https://raysl-soccer.org/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,STL Metro,CarShield FC,https://carshieldfc.com/,38.6708347,-90.6711402,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Washington Soccer Academy,https://washmosoccer.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,SPENSA,https://spensa.org/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Howard County Soccer,https://www.facebook.com/HowardCountySoccer/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Soccer Association of Independence,http://www.saisoccer.org/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,St. Louis Stars SC,https://stlstars.club/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Discovery Youth Soccer League,https://www.dysl.org/Default.aspx?tabid=1231397&mid=1285583&newskeyid=HN1&ctl=viewallnews,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Columbia Rush Soccer Club,https://www.comorush.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Gunners Soccer Club,https://gunners-sc.com/contact/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,KC Islanders Futbol Club,https://www.kcislandersfutbolclub.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Carthage Soccer Academy,Address:,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Morgan County Soccer League,https://www.morgancountysoccer.org/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Empower Soccer Club,https://www.empowernoco.org/soccer,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,STL Metro,Ittihad Soccer Club,https://ittihadsoccer.com/,38.6525184,-90.5731192,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Rockwood United Soccer Club,https://www.rockwoodunitedsc.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Sporting City Soccer Club (North & East),https://www.sportingcitysoccer.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,STL Metro,Flyers Soccer Club,https://www.facebook.com/p/Flyers-Soccer-Club-100086381261227/,38.5278147,-90.375273,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Virtus Futbol Club,https://virtusfutbolclub.wixsite.com/website,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Blue Springs Soccer Academy,https://www.bluesprings.soccer/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,FC Vardar,Address:,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Clinton Revolution FC,https://www.facebook.com/ClintonRevolutionFC/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Harrisonville Soccer Club,https://www.harrisonvillesc.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,STL Metro,SEMO Swarm,https://www.facebook.com/semo.swarm/,36.8788626,-89.5921897,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Midwest United,https://www.facebook.com/people/Midwest-Select-Soccer/100057535386609/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Resalat FC,https://resalatfc.info/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,STL Metro,TOPSoccer St. Charles,https://www.instagram.com/Topsoccerstc/,38.7969624,-90.5512748,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Sedalia Select Soccer,https://www.facebook.com/groups/1357165688502489/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,EuroSoccer Academy,https://euroyouthsoccer.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,KCMO Rush Soccer Club,https://www.kcmorush.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Tower Grove Soccer Club,https://towergrovesoccer.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,WC Charged FC,https://chargesports.net/wc-charged/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Franklin County Soccer Club,https://www.franklincountysc.org/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Webb City Charged FC,https://www.facebook.com/share/1FjVVCM6qo/?mibextid=wwXIfr,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Midwest Legacy Soccer Club,https://www.facebook.com//Midwest-Legacy-SC,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,DeSoto Youth Soccer League,www.desotomosoccer.org,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Missouri Youth Soccer Association,missourisoccer.org,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,STL Metro,Cape County Soccer Club,www.capecountysc.com/,37.3224198,-89.5494467,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Trinity Spartans,www.trinityspartans.com,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Ryogoku Soccer Academy,https://ryogokusocceracademy.org/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,Union KC Soccer Club,https://www.unionkcsoccer.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
MO,Outstate MO,573 Elite Soccer,https://www.573elitesoccer.com/,,,MYSA (Missouri Youth Soccer Association),MYSA Google My Maps KML 2024
