division,conference,school,mens_soccer,womens_soccer
Division II,Gulf South Conference,Mississippi College,True,True
Division II,Mid-America Intercollegiate Athletics Association,Missouri Southern State University,False,True
Division II,Great Lakes Valley Conference,Missouri University of Science and Technology,True,True
Division II,Mid-America Intercollegiate Athletics Association,Missouri Western State University,False,True
Division II,East Coast Conference,Molloy University,True,True
Division II,Great Northwest Athletic Conference,Montana State University Billings,False,True
Division II,Rocky Mountain Athletic Conference,New Mexico Highlands University,False,True
Division II,South Atlantic Conference,Newberry College,True,True
Division II,Mid-America Intercollegiate Athletics Association,Newman University,True,True
Division II,Conference Carolinas,North Greenville University,True,True
Division II,Mid-America Intercollegiate Athletics Association,Northeastern State University,True,True
Division II,Great Lakes Intercollegiate Athletic Conference,Northern Michigan University,True,True
Division II,Northern Sun Intercollegiate Conference,Northern State University,False,True
Division II,Mid-America Intercollegiate Athletics Association,Northwest Missouri State University,False,True
Division II,Great Northwest Athletic Conference,Northwest Nazarene University,True,True
Division II,Great American Conference,Northwestern Oklahoma State University,False,True
Division II,Great Midwest Athletic Conference,Northwood University,True,True
Division II,Sunshine State Conference,Nova Southeastern University,True,True
Division II,Great Midwest Athletic Conference,Ohio Dominican University,True,True
Division II,Great American Conference,Oklahoma Baptist University,False,True
Division II,Lone Star Conference,Oklahoma Christian University,True,True
Division II,Great American Conference,Ouachita Baptist University,True,True
Division II,Northeast-10 Conference,Pace University,True,True
Division II,Sunshine State Conference,Palm Beach Atlantic University,True,True
Division II,Pennsylvania State Athletic Conference,"Pennsylvania Western University, California",True,True
Division II,Pennsylvania State Athletic Conference,"Pennsylvania Western University, Clarion",False,True
Division II,Pennsylvania State Athletic Conference,"Pennsylvania Western University, Edinboro",False,True
Division II,Mid-America Intercollegiate Athletics Association,Pittsburg State University,False,True
Division II,Pacific West Conference,Point Loma Nazarene University,True,True
Division II,Mountain East Conference,Point Park University,True,True
Division II,Central Atlantic Collegiate Conference,Post University,True,True
Division II,Great Lakes Intercollegiate Athletic Conference,Purdue University Northwest,True,True
Division II,East Coast Conference,Queens College (New York),True,True
Division II,Great Lakes Valley Conference,Quincy University,True,True
Division II,Rocky Mountain Athletic Conference,Regis University (Colorado),True,True
Division II,East Coast Conference,Roberts Wesleyan University,True,True
Division II,Great Lakes Valley Conference,Rockhurst University,True,True
Division II,Mid-America Intercollegiate Athletics Association,Rogers State University,True,True
Division II,Sunshine State Conference,Rollins College,True,True
