team_name,city,state,league,source_url
Brooklyn FC,New York City,NY,USL Super League,https://en.wikipedia.org/wiki/USL_Super_League
Carolina Ascent FC,Charlotte,NC,USL Super League,https://en.wikipedia.org/wiki/USL_Super_League
Dallas Trinity FC,Dallas,TX,USL Super League,https://en.wikipedia.org/wiki/USL_Super_League
DC Power Football Club,Washington,DC,USL Super League,https://en.wikipedia.org/wiki/USL_Super_League
Fort Lauderdale United FC,Fort Lauderdale,FL,USL Super League,https://en.wikipedia.org/wiki/USL_Super_League
Lexington SC,Lexington,KY,USL Super League,https://en.wikipedia.org/wiki/USL_Super_League
Spokane Zephyr FC,Spokane,WA,USL Super League,https://en.wikipedia.org/wiki/USL_Super_League
Sporting JAX,Jacksonville,FL,USL Super League,https://en.wikipedia.org/wiki/USL_Super_League
Tampa Bay Sun FC,Tampa,FL,USL Super League,https://en.wikipedia.org/wiki/USL_Super_League
